iter	Logloss
0	0.6882621584
1	0.6839534374
2	0.6797467996
3	0.6745243571
4	0.6704725163
5	0.6673109366
6	0.6633007083
7	0.659455332
8	0.6569356645
9	0.6545063552
10	0.6512851171
11	0.6494305509
12	0.6474660285
13	0.6449429015
14	0.6430889383
15	0.6407611615
16	0.6388135862
17	0.6368271687
18	0.6344076947
19	0.6323165598
20	0.6314558938
21	0.6296977188
22	0.6283503717
23	0.6267589023
24	0.6250173319
25	0.6233602739
26	0.6221947299
27	0.6207020542
28	0.6195456409
29	0.6186521124
30	0.6172493878
31	0.6159040722
32	0.6148177093
33	0.6135584597
34	0.6130207952
35	0.6119145787
36	0.6110713453
37	0.6099674563
38	0.6088894755
39	0.607928927
40	0.6069108588
41	0.6056190498
42	0.6045161587
43	0.6031993974
44	0.6020952007
45	0.6009536612
46	0.5997970471
47	0.5988441757
48	0.5975195522
49	0.5968197129
50	0.596005066
51	0.5948859998
52	0.5935713796
53	0.592299286
54	0.5913920599
55	0.5905728711
56	0.5898879953
57	0.5890786594
58	0.5882112389
59	0.5870133708
60	0.5862406562
61	0.5855478933
62	0.5848931551
63	0.5839784885
64	0.5830513344
65	0.5822572586
66	0.5815238989
67	0.5806381156
68	0.5798887835
69	0.5795560195
70	0.5787368188
71	0.5779380166
72	0.5769558096
73	0.5758598228
74	0.5753440961
75	0.5745949481
76	0.5738783422
77	0.5734300003
78	0.5728851537
79	0.5720148779
80	0.5713036586
81	0.5702888976
82	0.5694024244
83	0.5687207134
84	0.5680720629
85	0.5673134653
86	0.5664170785
87	0.5658118213
88	0.5649382141
89	0.5639195082
90	0.5632197838
91	0.5626094041
92	0.5618172437
93	0.5610460217
94	0.5601811752
95	0.5595458972
96	0.5587102212
97	0.5580892309
98	0.5576981976
99	0.5573006541
100	0.5566205032
101	0.5558474328
102	0.5546627323
103	0.5541993735
104	0.553189119
105	0.5525144739
106	0.5512662318
107	0.5505781263
108	0.5497353604
109	0.5489644419
110	0.5485614616
111	0.5480444956
112	0.5476410818
113	0.5472011915
114	0.5463728322
115	0.5456125359
116	0.5445559997
117	0.5436572541
118	0.5429137096
119	0.5422040031
120	0.5415673553
121	0.5408597371
122	0.540374051
123	0.5396168029
124	0.5387939017
125	0.538091366
126	0.5372726034
127	0.5365773829
128	0.5358583342
129	0.5351807007
130	0.5348496852
131	0.5341789765
132	0.5333840949
133	0.5325929408
134	0.5320143724
135	0.5312265525
136	0.5303047112
137	0.5296904213
138	0.52906645
139	0.5281309656
140	0.5274245316
141	0.5269032402
142	0.5260333356
143	0.5253492493
144	0.5246026624
145	0.5239451012
146	0.5236216779
147	0.5228457269
148	0.5220267545
149	0.5214605701
150	0.5210527677
151	0.5201843075
152	0.5192785265
153	0.5186842915
154	0.5181578531
155	0.5174485559
156	0.5167388116
157	0.5160675108
158	0.5152352883
159	0.5146414474
160	0.513988592
161	0.5132602234
162	0.5129629796
163	0.512339492
164	0.5117512861
165	0.5109600113
166	0.5102643561
167	0.5095883563
168	0.5089550293
