iter	Passed	Remaining
0	19	19252
1	38	19443
2	58	19482
3	82	20538
4	103	20541
5	123	20408
6	144	20531
7	165	20544
8	184	20299
9	203	20097
10	223	20102
11	242	19945
12	262	19942
13	281	19813
14	312	20510
15	363	22372
16	401	23224
17	429	23420
18	449	23208
19	469	23023
20	490	22871
21	513	22828
22	532	22611
23	552	22468
24	574	22392
25	593	22217
26	612	22063
27	631	21921
28	650	21777
29	668	21627
30	688	21526
31	710	21483
32	729	21384
33	749	21292
34	769	21223
35	790	21176
36	810	21103
37	829	21008
38	849	20935
39	868	20850
40	887	20750
41	909	20750
42	934	20787
43	954	20742
44	973	20663
45	992	20591
46	1014	20569
47	1033	20492
48	1053	20440
49	1072	20377
50	1091	20306
51	1112	20278
52	1131	20219
53	1152	20193
54	1171	20132
55	1190	20065
56	1210	20027
57	1231	20003
58	1252	19968
59	1270	19902
60	1291	19881
61	1313	19870
62	1332	19825
63	1353	19802
64	1373	19763
65	1392	19706
66	1412	19667
67	1431	19616
68	1450	19576
69	1469	19523
70	1489	19487
71	1509	19455
72	1528	19416
73	1550	19407
74	1569	19353
75	1588	19316
76	1609	19287
77	1628	19249
78	1647	19212
79	1667	19170
80	1688	19153
81	1709	19136
82	1728	19096
83	1747	19054
84	1767	19021
85	1785	18976
86	1805	18942
87	1825	18919
88	1845	18892
89	1865	18858
90	1885	18830
91	1904	18792
92	1923	18760
93	1945	18753
94	1967	18740
95	1986	18706
96	2006	18681
97	2028	18668
98	2046	18629
99	2066	18595
100	2087	18583
101	2109	18571
102	2129	18544
103	2147	18505
104	2168	18485
105	2187	18449
106	2207	18425
107	2228	18406
108	2247	18375
109	2267	18342
110	2288	18325
111	2307	18294
112	2326	18260
113	2351	18272
114	2372	18259
115	2396	18261
116	2418	18253
117	2441	18247
118	2461	18226
119	2486	18232
120	2510	18237
121	2536	18256
122	2563	18275
123	2588	18289
124	2610	18276
125	2633	18264
126	2654	18248
127	2676	18233
128	2697	18212
129	2719	18198
130	2741	18184
131	2762	18164
132	2784	18148
133	2806	18139
134	2829	18127
135	2852	18119
136	2876	18118
137	2909	18172
138	2934	18179
139	2959	18176
140	2982	18167
141	3002	18144
142	3025	18130
143	3046	18109
144	3067	18086
145	3087	18062
146	3116	18085
147	3140	18076
148	3161	18057
149	3183	18038
150	3204	18015
151	3226	18001
152	3247	17976
153	3269	17959
154	3291	17944
155	3315	17935
156	3337	17922
157	3359	17900
158	3381	17887
159	3403	17865
160	3426	17854
161	3447	17835
162	3470	17819
163	3491	17798
164	3513	17782
165	3537	17771
166	3559	17753
167	3581	17738
168	3604	17724
169	3628	17715
170	3649	17694
171	3672	17678
172	3696	17669
173	3718	17651
174	3739	17629
175	3760	17606
176	3781	17582
177	3802	17560
178	3825	17547
179	3848	17530
180	3868	17505
181	3889	17482
182	3911	17463
183	3933	17444
184	3957	17435
185	3979	17416
186	4001	17395
187	4022	17374
188	4044	17353
189	4065	17333
190	4089	17321
191	4112	17307
192	4133	17284
193	4155	17263
194	4176	17240
195	4198	17222
196	4220	17204
197	4240	17177
198	4263	17161
199	4285	17141
200	4306	17119
201	4327	17095
202	4349	17076
203	4371	17058
204	4393	17037
205	4414	17016
206	4436	16996
207	4458	16977
208	4481	16961
209	4506	16953
210	4526	16925
211	4546	16899
212	4568	16878
213	4591	16862
214	4611	16839
215	4633	16819
216	4654	16793
217	4675	16772
218	4698	16755
219	4719	16731
220	4740	16709
221	4762	16690
222	4785	16674
223	4808	16656
224	4831	16643
225	4852	16619
226	4872	16590
227	4894	16571
228	4920	16564
229	4940	16539
230	4960	16514
231	4982	16494
232	5004	16473
233	5026	16454
234	5048	16435
235	5069	16412
236	5090	16388
237	5113	16372
238	5135	16352
239	5159	16337
240	5180	16316
241	5202	16294
242	5224	16276
243	5248	16260
244	5269	16237
245	5290	16217
246	5315	16205
247	5337	16183
248	5358	16162
249	5379	16139
250	5401	16117
251	5422	16096
252	5445	16079
253	5467	16058
254	5488	16034
255	5509	16013
256	5531	15992
257	5553	15972
258	5577	15957
259	5600	15938
260	5622	15918
261	5643	15897
262	5664	15874
263	5686	15854
264	5710	15838
265	5732	15818
266	5755	15799
267	5776	15778
268	5797	15755
269	5818	15732
270	5842	15717
271	5864	15695
272	5884	15671
273	5906	15648
274	5927	15626
275	5949	15606
276	5971	15586
277	5992	15564
278	6014	15542
279	6035	15519
280	6058	15501
281	6079	15478
282	6101	15459
283	6126	15444
284	6146	15419
285	6167	15397
286	6189	15376
287	6209	15350
288	6230	15329
289	6252	15306
290	6273	15285
291	6296	15266
292	6318	15247
293	6340	15225
294	6363	15207
295	6387	15191
296	6408	15169
297	6432	15152
298	6454	15132
299	6476	15112
300	6500	15095
301	6523	15077
302	6545	15055
303	6566	15034
304	6590	15016
305	6611	14994
306	6633	14974
307	6655	14952
308	6677	14931
309	6699	14912
310	6719	14887
311	6740	14863
312	6763	14845
313	6784	14822
314	6806	14801
315	6829	14783
316	6850	14760
317	6871	14736
318	6893	14716
319	6918	14701
320	6942	14684
321	6963	14661
322	6983	14637
323	7004	14614
324	7027	14595
325	7051	14579
326	7073	14557
327	7095	14536
328	7117	14515
329	7137	14491
330	7160	14472
331	7181	14450
332	7204	14429
333	7227	14411
334	7247	14386
335	7269	14365
336	7300	14363
337	7351	14397
338	7382	14395
339	7413	14390
340	7437	14374
341	7458	14349
342	7478	14324
343	7499	14301
344	7520	14278
345	7543	14258
346	7565	14237
347	7588	14217
348	7610	14196
349	7633	14176
350	7654	14154
351	7675	14130
352	7697	14109
353	7722	14092
354	7743	14070
355	7765	14047
356	7787	14025
357	7808	14003
358	7830	13982
359	7854	13962
360	7875	13940
361	7896	13917
362	7918	13896
363	7940	13874
364	7963	13854
365	7985	13832
366	8006	13809
367	8028	13788
368	8052	13769
369	8073	13747
370	8096	13726
371	8120	13708
372	8140	13683
373	8162	13662
374	8183	13639
375	8204	13616
376	8231	13603
377	8257	13588
378	8286	13578
379	8314	13565
380	8342	13554
381	8367	13537
382	8389	13515
383	8412	13495
384	8435	13474
385	8456	13451
386	8480	13432
387	8504	13415
388	8529	13396
389	8550	13374
390	8572	13351
391	8593	13328
392	8614	13305
393	8635	13282
394	8657	13259
395	8678	13237
396	8699	13214
397	8720	13190
398	8741	13167
399	8764	13146
400	8785	13124
401	8808	13103
402	8829	13079
403	8850	13057
404	8871	13033
405	8893	13011
406	8918	12994
407	8940	12973
408	8960	12948
409	8981	12924
410	9003	12902
411	9026	12882
412	9047	12859
413	9068	12836
414	9091	12816
415	9113	12793
416	9134	12770
417	9157	12750
418	9178	12727
419	9200	12704
420	9222	12683
421	9243	12661
422	9265	12638
423	9289	12619
424	9311	12598
425	9335	12578
426	9355	12554
427	9375	12530
428	9396	12506
429	9419	12486
430	9442	12466
431	9462	12441
432	9483	12418
433	9505	12396
434	9527	12374
435	9550	12354
436	9573	12333
437	9595	12311
438	9617	12290
439	9640	12270
440	9661	12246
441	9683	12224
442	9707	12205
443	9730	12185
444	9753	12164
445	9773	12140
446	9795	12118
447	9818	12097
448	9839	12074
449	9860	12051
450	9881	12028
451	9901	12004
452	9922	11981
453	9945	11961
454	9968	11939
455	9989	11917
456	10011	11895
457	10049	11892
458	10070	11870
459	10093	11848
460	10117	11829
461	10138	11805
462	10159	11783
463	10181	11760
464	10203	11739
465	10225	11717
466	10247	11695
467	10270	11674
468	10291	11652
469	10314	11630
470	10335	11607
471	10356	11585
472	10380	11566
473	10404	11545
474	10428	11525
475	10448	11501
476	10470	11479
477	10493	11459
478	10518	11441
479	10542	11420
480	10562	11397
481	10585	11375
482	10607	11353
483	10628	11331
484	10649	11308
485	10670	11285
486	10692	11263
487	10713	11240
488	10735	11218
489	10757	11196
490	10779	11174
491	10800	11152
492	10822	11130
493	10844	11108
494	10866	11085
495	10888	11064
496	10914	11046
497	10936	11024
498	10957	11001
499	10977	10977
500	10999	10955
501	11021	10934
502	11042	10910
503	11062	10887
504	11083	10863
505	11105	10841
506	11126	10819
507	11149	10797
508	11172	10777
509	11194	10755
510	11216	10733
511	11237	10710
512	11257	10687
513	11280	10665
514	11304	10645
515	11326	10624
516	11347	10600
517	11367	10577
518	11389	10555
519	11410	10532
520	11432	10510
521	11454	10489
522	11475	10465
523	11498	10445
524	11518	10421
525	11541	10400
526	11564	10379
527	11585	10357
528	11606	10333
529	11627	10311
530	11650	10290
531	11670	10266
532	11692	10244
533	11717	10225
534	11738	10202
535	11760	10180
536	11782	10158
537	11802	10135
538	11824	10113
539	11845	10090
540	11867	10068
541	11887	10045
542	11908	10022
543	11929	9999
544	11952	9978
545	11973	9956
546	11996	9934
547	12019	9913
548	12039	9890
549	12061	9868
550	12083	9846
551	12107	9826
552	12129	9804
553	12153	9784
554	12176	9762
555	12199	9741
556	12220	9718
557	12241	9696
558	12263	9674
559	12285	9653
560	12307	9631
561	12330	9609
562	12351	9587
563	12376	9567
564	12402	9548
565	12426	9528
566	12454	9510
567	12485	9496
568	12512	9478
569	12536	9457
570	12559	9436
571	12580	9413
572	12604	9392
573	12626	9370
574	12647	9348
575	12668	9325
576	12689	9302
577	12710	9280
578	12731	9257
579	12754	9236
580	12776	9213
581	12798	9192
582	12821	9171
583	12843	9148
584	12864	9125
585	12887	9104
586	12911	9084
587	12932	9061
588	12953	9038
589	12974	9016
590	12995	8993
591	13018	8972
592	13040	8950
593	13061	8927
594	13083	8905
595	13105	8883
596	13126	8860
597	13150	8840
598	13171	8817
599	13194	8796
600	13217	8775
601	13242	8754
602	13263	8732
603	13286	8711
604	13310	8690
605	13330	8667
606	13352	8645
607	13374	8623
608	13397	8601
609	13418	8579
610	13439	8556
611	13461	8534
612	13483	8512
613	13503	8489
614	13524	8466
615	13546	8444
616	13569	8423
617	13590	8400
618	13613	8378
619	13634	8356
620	13655	8333
621	13676	8311
622	13701	8291
623	13724	8269
624	13745	8247
625	13767	8225
626	13789	8203
627	13809	8180
628	13831	8157
629	13852	8135
630	13873	8112
631	13895	8090
632	13915	8068
633	13937	8045
634	13959	8023
635	13981	8001
636	14004	7980
637	14027	7959
638	14047	7936
639	14068	7913
640	14092	7892
641	14117	7872
642	14138	7849
643	14159	7827
644	14181	7805
645	14202	7782
646	14224	7761
647	14244	7738
648	14264	7714
649	14286	7692
650	14308	7670
651	14329	7648
652	14352	7627
653	14378	7607
654	14401	7585
655	14425	7564
656	14446	7542
657	14467	7519
658	14492	7499
659	14527	7484
660	14552	7463
661	14575	7441
662	14602	7422
663	14627	7402
664	14651	7380
665	14674	7359
666	14696	7337
667	14720	7316
668	14744	7294
669	14765	7272
670	14789	7251
671	14810	7229
672	14832	7207
673	14854	7184
674	14874	7161
675	14899	7140
676	14922	7119
677	14944	7097
678	14968	7076
679	14990	7054
680	15012	7032
681	15036	7011
682	15058	6989
683	15080	6966
684	15103	6945
685	15124	6922
686	15149	6902
687	15174	6881
688	15197	6859
689	15222	6839
690	15246	6817
691	15269	6796
692	15307	6781
693	15350	6768
694	15386	6752
695	15415	6733
696	15437	6711
697	15460	6689
698	15483	6667
699	15507	6645
700	15529	6623
701	15553	6602
702	15576	6580
703	15600	6559
704	15623	6537
705	15645	6515
706	15668	6493
707	15692	6472
708	15718	6451
709	15739	6428
710	15761	6406
711	15782	6383
712	15804	6361
713	15825	6339
714	15846	6316
715	15868	6294
716	15890	6271
717	15910	6248
718	15932	6226
719	15954	6204
720	15977	6182
721	15997	6159
722	16020	6137
723	16041	6115
724	16062	6092
725	16084	6070
726	16107	6048
727	16128	6026
728	16150	6003
729	16172	5981
730	16194	5959
731	16215	5936
732	16236	5914
733	16258	5891
734	16279	5869
735	16300	5847
736	16322	5824
737	16344	5802
738	16367	5780
739	16389	5758
740	16410	5735
741	16432	5713
742	16453	5691
743	16475	5668
744	16500	5647
745	16523	5626
746	16543	5603
747	16563	5580
748	16585	5557
749	16606	5535
750	16627	5513
751	16648	5490
752	16669	5468
753	16690	5445
754	16712	5423
755	16736	5401
756	16758	5379
757	16779	5357
758	16801	5334
759	16824	5312
760	16845	5290
761	16866	5267
762	16890	5246
763	16914	5224
764	16936	5202
765	16958	5180
766	16980	5158
767	17002	5136
768	17026	5114
769	17049	5092
770	17070	5070
771	17091	5047
772	17112	5025
773	17137	5004
774	17159	4981
775	17181	4959
776	17202	4937
777	17224	4914
778	17245	4892
779	17268	4870
780	17292	4848
781	17312	4826
782	17333	4803
783	17355	4781
784	17377	4759
785	17397	4736
786	17417	4713
787	17438	4691
788	17460	4669
789	17481	4647
790	17503	4624
791	17525	4602
792	17546	4580
793	17569	4558
794	17591	4536
795	17612	4513
796	17632	4491
797	17653	4468
798	17677	4447
799	17700	4425
800	17721	4402
801	17742	4380
802	17763	4357
803	17784	4335
804	17805	4313
805	17826	4290
806	17847	4268
807	17867	4245
808	17890	4223
809	17912	4201
810	17934	4179
811	17955	4157
812	17976	4134
813	17998	4112
814	18021	4090
815	18041	4068
816	18062	4045
817	18085	4023
818	18110	4002
819	18130	3979
820	18153	3957
821	18174	3935
822	18195	3913
823	18217	3891
824	18238	3868
825	18259	3846
826	18280	3824
827	18303	3802
828	18324	3779
829	18348	3758
830	18368	3735
831	18389	3713
832	18413	3691
833	18437	3669
834	18458	3647
835	18481	3625
836	18507	3604
837	18528	3581
838	18549	3559
839	18569	3537
840	18590	3514
841	18612	3492
842	18633	3470
843	18655	3448
844	18676	3425
845	18698	3403
846	18720	3381
847	18742	3359
848	18764	3337
849	18786	3315
850	18806	3292
851	18830	3270
852	18850	3248
853	18870	3226
854	18895	3204
855	18917	3182
856	18939	3160
857	18960	3137
858	18981	3115
859	19002	3093
860	19024	3071
861	19047	3049
862	19068	3027
863	19089	3004
864	19110	2982
865	19133	2960
866	19156	2938
867	19179	2916
868	19200	2894
869	19222	2872
870	19244	2850
871	19266	2828
872	19287	2805
873	19311	2784
874	19333	2761
875	19355	2739
876	19376	2717
877	19397	2695
878	19418	2673
879	19440	2650
880	19463	2629
881	19483	2606
882	19504	2584
883	19525	2562
884	19548	2540
885	19570	2518
886	19591	2495
887	19613	2473
888	19635	2451
889	19655	2429
890	19677	2407
891	19700	2385
892	19723	2363
893	19743	2340
894	19764	2318
895	19785	2296
896	19806	2274
897	19827	2252
898	19847	2229
899	19870	2207
900	19890	2185
901	19911	2163
902	19933	2141
903	19955	2119
904	19977	2097
905	20000	2075
906	20021	2052
907	20042	2030
908	20064	2008
909	20088	1986
910	20111	1964
911	20134	1942
912	20154	1920
913	20174	1898
914	20195	1876
915	20217	1853
916	20237	1831
917	20257	1809
918	20277	1787
919	20300	1765
920	20323	1743
921	20346	1721
922	20367	1699
923	20393	1677
924	20416	1655
925	20439	1633
926	20462	1611
927	20485	1589
928	20509	1567
929	20532	1545
930	20553	1523
931	20575	1501
932	20596	1479
933	20618	1456
934	20638	1434
935	20660	1412
936	20681	1390
937	20702	1368
938	20724	1346
939	20746	1324
940	20767	1302
941	20789	1280
942	20811	1257
943	20833	1235
944	20854	1213
945	20875	1191
946	20898	1169
947	20921	1147
948	20944	1125
949	20964	1103
950	20984	1081
951	21004	1059
952	21026	1036
953	21046	1014
954	21068	992
955	21090	970
956	21110	948
957	21131	926
958	21154	904
959	21176	882
960	21196	860
961	21217	838
962	21238	816
963	21260	793
964	21280	771
965	21303	749
966	21326	727
967	21348	705
968	21369	683
969	21392	661
970	21413	639
971	21434	617
972	21458	595
973	21478	573
974	21498	551
975	21519	529
976	21540	507
977	21563	485
978	21585	463
979	21607	440
980	21629	418
981	21650	396
982	21671	374
983	21694	352
984	21716	330
985	21737	308
986	21757	286
987	21779	264
988	21801	242
989	21821	220
990	21842	198
991	21862	176
992	21884	154
993	21904	132
994	21925	110
995	21947	88
996	21970	66
997	21991	44
998	22015	22
999	22036	0
